Name of the Purchaser,Denominations
FUTURE GAMING AND HOTEL SERVICES PR,12050000000
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,8210000000
QWIKSUPPLYCHAINPRIVATELIMITED,4100000000
HALDIA ENERGY LIMITED,3770000000
VEDANTA LIMITED,3756500000
ESSEL MINING AND INDS LTD,2245000000
WESTERN UP POWER TRANSMISSION COMPANY LI MITED,2200000000
KEVENTER FOODPARK INFRA LIMITED,1950000000
MADANLAL LTD.,1855000000
BHARTI AIRTEL LIMITED,1830000000
YASHODA SUPER SPECIALITY HOSPITAL,1620000000
UTKAL ALUMINA INTERNATIONAL LIMITED,1351000000
DLF COMMERCIAL DEVELOPERS LIMITED,1300000000
MKJ ENTERPRISES LIMITED,1283500000
JINDAL STEEL AND POWER LIMITED,1230000000
B G SHIRKE CONSTRUCTION TECHNOLOGY PVT L TD,1170000000
DHARIWAL INFRASTRUCTURE LIMITED,1150000000
BIRLACARBONINDIAPRIVATELIMITED,1050000000
CHENNAI GREEN WOODS PRIVATE LIMITED,1050000000
RUNGTA SONS P LTD,1000000000
FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,950000000
IFB AGRO INDUSTRIES LIMITED,923000000
TORRENT POWER LIMITED,865000000
AVEES TRADING FINANCE PVT LTD,855000000
DR.REDDY'S LABORATORIES LTD,800000000
PRARAMBH SECURITIES PVT LTDPROPRIET,780000000
MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,750000000
MEGHA ENGINEERING AND INFRASTRUCTURES LTD,700000000
FUTURE GAMING AND HOTEL SERVICES PVT LTD,650000000
MKJ ENTERPRISES LTD,640700000
RASHMI CEMENT LTD,635000000
SRI SIDDHARTH INFRATECH AND SERVICES I P,601000000
NCC LIMITED,600000000
INFINA FINANCE PRIVATE LIMITED,600000000
NATCO PHARMA LTD,572500000
DIVI S LABORATORIES LIMITED,550000000
THE RAMCO CEMENTS LIMITED,540000000
UNITED PHOSPHORUS INDIA LLP,500000000
AUROBINDO PHARMA LIMITED,490000000
NAVAYUGA  ENGINEERING COMPANY LIMITED,450000000
MS S N MOHANTY,450000000
RITHWIK PROJECTS  PRIVATE LIMITED,450000000
PCBL LIMITED,450000000
SASMAL INFRASTRUCTURE PRIVATE LIMITED,440000000
TORRENT PHARMACEUTICALS LTD,425000000
TRANSWAYS EXIM PRIVATE LIMITED,415000000
SEPC POWER PVT LTD OPERATION RETEN,400000000
SHIRDI SAI ELECTRICALS LTD,400000000
MODERN ROAD MAKERS PVT. LTD.,400000000
PHL FINIVEST PVT LTD,400000000
